id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
24083846,261185994,261185995,76.982149859,1,1,0,2,0,"LINESTRING(-87.7250843 41.9511764, -87.7251022 41.9517849, -87.7250599 41.9518616)"
24083846,261185995,1625527852,85.7889496596,1,1,0,2,0,"LINESTRING(-87.7250599 41.9518616, -87.7250728 41.9526322)"
24083846,1625527852,261128252,14.739740389,1,1,0,2,0,"LINESTRING(-87.7250728 41.9526322, -87.7250750 41.9527646)"
24083846,261128252,1625527780,55.4469117406,1,1,0,2,0,"LINESTRING(-87.7250750 41.9527646, -87.7250878 41.9532626)"
24083846,1625527780,5495537017,3.6295986424,1,1,0,2,0,"LINESTRING(-87.7250878 41.9532626, -87.7250886 41.9532952)"
24083846,5495537017,1625527820,13.2494283083,1,1,0,2,0,"LINESTRING(-87.7250886 41.9532952, -87.7250917 41.9534142)"
24083846,1625527820,5495537014,4.9767855968,1,1,0,2,0,"LINESTRING(-87.7250917 41.9534142, -87.7250928 41.9534589)"
24083846,5495537014,306084158,19.1607568513,1,1,0,2,0,"LINESTRING(-87.7250928 41.9534589, -87.7250953 41.9535546, -87.7251243 41.9536279)"
24083846,306084158,1475142958,13.7337512991,1,1,0,2,0,"LINESTRING(-87.7251243 41.9536279, -87.7251605 41.9537483)"
24083846,1475142958,5495539515,20.6031107765,1,1,0,2,0,"LINESTRING(-87.7251605 41.9537483, -87.7251683 41.9538137, -87.7251716 41.9539331)"
24083846,5495539515,2180439001,28.8713022024,1,1,0,2,0,"LINESTRING(-87.7251716 41.9539331, -87.7251789 41.9541924)"
24083846,2180439001,261185997,146.3822465857,1,1,0,2,0,"LINESTRING(-87.7251789 41.9541924, -87.7252155 41.9555071)"
24083846,261185997,2180438943,194.7310392343,1,1,0,2,0,"LINESTRING(-87.7252155 41.9555071, -87.7252597 41.9572561)"
24083846,2180438943,261185998,9.7421013619,1,1,0,2,0,"LINESTRING(-87.7252597 41.9572561, -87.7252619 41.9573436)"
24085526,261194271,2295447000,58.2108644871,1,1,1,2,2,"LINESTRING(-87.7446039 41.9534525, -87.7445835 41.9529298)"
24085526,2295447000,2295446983,59.7589868034,1,1,1,2,2,"LINESTRING(-87.7445835 41.9529298, -87.7445625 41.9523932)"
24085526,2295446983,5495410879,32.3158776773,1,1,1,2,2,"LINESTRING(-87.7445625 41.9523932, -87.7445621 41.9521029)"
24085526,5495410879,4957715138,4.397102172,1,1,1,2,2,"LINESTRING(-87.7445621 41.9521029, -87.7445620 41.9520634)"
24085527,261195035,2185494813,51.3209107312,1,1,0,2,0,"LINESTRING(-87.7446393 41.9516210, -87.7446716 41.9511606)"
24085527,2185494813,2258382532,15.963122376,1,1,0,2,0,"LINESTRING(-87.7446716 41.9511606, -87.7446716 41.9510172)"
24085527,2258382532,261195034,33.9077212042,1,1,0,2,0,"LINESTRING(-87.7446716 41.9510172, -87.7446717 41.9507126)"
24085527,261195034,2258382534,50.282928253,1,1,0,2,0,"LINESTRING(-87.7446717 41.9507126, -87.7446495 41.9502612)"
24085527,2258382534,261195033,50.183112758,1,1,0,2,0,"LINESTRING(-87.7446495 41.9502612, -87.7446272 41.9498107)"
24085527,261195033,2258382520,51.8028923431,1,1,0,2,0,"LINESTRING(-87.7446272 41.9498107, -87.7446110 41.9493455)"
24085527,2258382520,261195032,51.3132554408,1,1,0,2,0,"LINESTRING(-87.7446110 41.9493455, -87.7445948 41.9488847)"
24085527,261195032,2258382544,50.1902086037,1,1,0,2,0,"LINESTRING(-87.7445948 41.9488847, -87.7445842 41.9484339)"
24085527,2258382544,261181640,50.8915551431,1,1,0,2,0,"LINESTRING(-87.7445842 41.9484339, -87.7445735 41.9479768)"
24085527,261181640,2258382504,50.8308609192,1,1,0,2,0,"LINESTRING(-87.7445735 41.9479768, -87.7445672 41.9475202)"
24085527,2258382504,261195031,50.1962080335,1,1,0,2,0,"LINESTRING(-87.7445672 41.9475202, -87.7445611 41.9470693)"
24085527,261195031,2258382549,51.1550858764,1,1,0,2,0,"LINESTRING(-87.7445611 41.9470693, -87.7445533 41.9466098)"
24085527,2258382549,289550288,50.8210516507,1,1,0,2,0,"LINESTRING(-87.7445533 41.9466098, -87.7445456 41.9461533)"
24085536,369630919,2185494917,80.0287540783,1,1,1,2,2,"LINESTRING(-87.7455781 41.9534401, -87.7456067 41.9541587)"
24085536,2185494917,2185494893,18.2085840295,1,1,1,2,2,"LINESTRING(-87.7456067 41.9541587, -87.7456132 41.9543222)"
24085536,2185494893,261195087,15.2015969347,1,1,1,2,2,"LINESTRING(-87.7456132 41.9543222, -87.7456186 41.9544587)"
24085536,261195087,3639320411,70.9970868695,1,1,1,2,2,"LINESTRING(-87.7456186 41.9544587, -87.7456323 41.9550964)"
24085536,3639320411,2185495020,5.3884680542,1,1,1,2,2,"LINESTRING(-87.7456323 41.9550964, -87.7456333 41.9551448)"
24085536,2185495020,2185494619,90.791893292,1,1,1,2,2,"LINESTRING(-87.7456333 41.9551448, -87.7456408 41.9554944, -87.7456571 41.9559602)"
24085536,2185494619,2185494660,4.4211023317,1,1,1,2,2,"LINESTRING(-87.7456571 41.9559602, -87.7456586 41.9559999)"
